time,fps,ft_p50_ms,ft_p95_ms,ft_max_ms,inputs,in2present_p50_ms,in2present_p95_ms,cpu_pct,mem_gb
2026-07-14T19:27:06Z,181.1,5.08,7.52,9.67,0,0.0,0.0,0,0.30
2026-07-14T19:27:07Z,178.0,4.79,9.44,9.67,0,0.0,0.0,7,0.30
2026-07-14T19:27:08Z,195.0,4.80,9.02,10.00,2,3.2,3.2,5,0.30
2026-07-14T19:27:09Z,190.0,4.79,8.80,9.46,0,0.0,0.0,4,0.30
2026-07-14T19:27:10Z,168.0,5.40,9.03,9.98,0,0.0,0.0,5,0.30
2026-07-14T19:27:11Z,189.1,4.85,8.80,9.56,0,0.0,0.0,6,0.30
2026-07-14T19:27:12Z,179.0,4.88,8.97,9.36,0,0.0,0.0,2,0.30
2026-07-14T19:27:13Z,193.9,4.80,7.22,9.19,0,0.0,0.0,1,0.30
2026-07-14T19:27:14Z,169.1,6.01,7.26,9.07,0,0.0,0.0,3,0.30
