time,fps,ft_p50_ms,ft_p95_ms,ft_max_ms,inputs,in2present_p50_ms,in2present_p95_ms,cpu_pct,mem_gb
2026-07-14T19:28:25Z,166.2,6.57,7.68,9.49,0,0.0,0.0,0,0.04
2026-07-14T19:28:26Z,161.4,6.84,7.15,7.32,0,0.0,0.0,1,0.04
2026-07-14T19:28:27Z,150.0,6.90,7.34,8.56,0,0.0,0.0,0,0.04
2026-07-14T19:28:28Z,145.0,6.92,7.38,9.10,0,0.0,0.0,0,0.04
2026-07-14T19:28:29Z,145.0,6.92,7.31,9.07,0,0.0,0.0,0,0.04
2026-07-14T19:28:30Z,156.0,6.88,7.18,8.34,0,0.0,0.0,0,0.04
2026-07-14T19:28:31Z,163.0,6.83,7.12,8.96,0,0.0,0.0,0,0.04
