time,fps,ft_p50_ms,ft_p95_ms,ft_max_ms,inputs,in2present_p50_ms,in2present_p95_ms,cpu_pct,mem_gb
2026-07-14T21:44:14Z,146.0,6.88,8.13,9.98,0,0.0,0.0,0,0.04
2026-07-14T21:44:15Z,144.1,6.97,7.86,10.98,0,0.0,0.0,0,0.04
2026-07-14T21:44:16Z,145.9,6.92,7.88,8.67,0,0.0,0.0,0,0.04
2026-07-14T21:44:17Z,146.0,6.86,8.11,8.83,0,0.0,0.0,0,0.04
2026-07-14T21:44:18Z,146.1,6.90,7.73,8.69,0,0.0,0.0,0,0.04
2026-07-14T21:44:19Z,145.9,6.88,7.87,9.54,0,0.0,0.0,0,0.04
2026-07-14T21:44:20Z,145.0,6.94,8.08,9.70,0,0.0,0.0,0,0.04
2026-07-14T21:44:21Z,145.1,6.93,7.69,12.58,0,0.0,0.0,0,0.04
2026-07-14T21:44:22Z,145.0,6.90,7.72,8.82,0,0.0,0.0,0,0.04
2026-07-14T21:44:23Z,145.0,6.90,7.97,9.23,0,0.0,0.0,0,0.04
2026-07-14T21:44:24Z,144.0,6.92,8.13,9.43,0,0.0,0.0,0,0.04
2026-07-14T21:44:25Z,143.0,6.91,8.04,12.39,0,0.0,0.0,0,0.04
2026-07-14T21:44:26Z,144.0,6.97,7.83,9.79,0,0.0,0.0,0,0.04
2026-07-14T21:44:27Z,144.0,6.92,7.80,9.45,0,0.0,0.0,0,0.04
2026-07-14T21:44:28Z,145.0,6.88,8.00,9.03,0,0.0,0.0,0,0.04
2026-07-14T21:44:29Z,145.0,6.91,8.10,10.26,0,0.0,0.0,0,0.04
2026-07-14T21:44:30Z,145.0,6.87,8.22,9.02,0,0.0,0.0,0,0.04
2026-07-14T21:44:31Z,142.1,6.95,7.89,26.48,0,0.0,0.0,0,0.04
2026-07-14T21:44:32Z,147.9,6.88,7.60,8.08,0,0.0,0.0,0,0.04
2026-07-14T21:44:33Z,144.1,6.89,8.36,13.36,0,0.0,0.0,0,0.04
